juk 21.04.1-1
jupyter 4.6.3-2
jupyter-nbclassic 0.3.1-1
jupyter-nbclient 0.5.3-1
jupyter-nbconvert 6.0.7-3
jupyter-nbformat 5.1.3-1
jupyter-notebook 6.3.0-1
jupyter-server 1.8.0-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.4.0-1
jupyterlab 3.0.16-1
jupyterlab_pygments 0.1.2-2
kaccounts-integration 21.04.1-1
kaccounts-providers 21.04.1-1
kactivities 5.82.0-1
kactivities-stats 5.82.0-1
kactivitymanagerd 5.21.5-1
kaddressbook 21.04.1-1
kalarm 21.04.1-1
kalarmcal 21.04.1-1
kalgebra 21.04.1-1
kamera 21.04.1-1
kamoso 21.04.1-1
kapptemplate 21.04.1-1
karchive 5.82.0-1
kate 21.04.1-1
kauth 5.82.0-1
kbackup 21.04.1-1
kbd 2.4.0-2
kbookmarks 5.82.0-1
kcachegrind 21.04.1-1
kcachegrind-common 21.04.1-1
kcalc 21.04.1-1
kcalendarcore 5.82.0-1
kcalutils 21.04.1-1
kcharselect 21.04.1-1
kcmutils 5.82.0-1
kcodecs 5.82.0-1
kcolorchooser 21.04.1-1
kcolorpicker 0.1.6-1
kcompletion 5.82.0-1
kconfig 5.82.0-1
kconfigwidgets 5.82.0-1
kcontacts 1:5.82.0-1
kcoreaddons 5.82.0-1
kcrash 5.82.0-1
kcron 21.04.1-1
kdav 1:5.82.0-1
kdbusaddons 5.82.0-1
kde-cli-tools 5.21.5-1
kde-dev-scripts 21.04.1-1
kde-dev-utils 21.04.1-1
kde-gtk-config 5.21.5-1
kdebugsettings 21.04.1-1
kdeclarative 5.82.0-1
kdeconnect 21.04.1-2
kdecoration 5.21.5-1
kded 5.82.0-1
kdegraphics-mobipocket 21.04.1-1
kdegraphics-thumbnailers 21.04.1-1
kdelibs4support 5.82.0-1
kdenetwork-filesharing 21.04.1-1
kdenlive 21.04.1-1
kdepim-addons 21.04.1-1
kdepim-runtime 21.04.1-1
kdeplasma-addons 5.21.5-1
kdesdk-kioslaves 21.04.1-1
kdesdk-thumbnailers 21.04.1-1
kdesu 5.82.0-1
kdevelop 5.6.2-3
kdevelop-php 5.6.2-1
kdf 21.04.1-1
kdiagram 2.8.0-1
kdialog 21.04.1-1
kdnssd 5.82.0-1
kdoctools 5.82.0-1
kdsoap 1.10.0-1
kdsoap-ws-discovery-client git20200927-1
keditbookmarks 21.04.1-1
kemoticons 5.82.0-1
keyutils 1.6.3-1
kfilemetadata 5.82.0-1
kfind 21.04.1-1
kgamma5 5.21.5-1
kget 21.04.1-1
kglobalaccel 5.82.0-1
kgpg 21.04.1-1
kguiaddons 5.82.0-1
khelpcenter 21.04.1-1
kholidays 1:5.82.0-1
khotkeys 5.21.5-1
khtml 5.82.0-1
ki18n 5.82.0-1
kiconthemes 5.82.0-1
kidentitymanagement 21.04.1-1
kidletime 5.82.0-1
kimageannotator 0.5.1-1
kimagemapeditor 21.04.1-1
kimap 21.04.1-1
kinfocenter 5.21.5-1
kinit 5.82.0-1
kio 5.82.0-1
kio-extras 21.04.1-2
kio-gdrive 21.04.1-1
kipi-plugins 21.04.1-1
kirigami-gallery 21.04.1-1
kirigami2 5.82.0-1
kitemmodels 5.82.0-1
kitemviews 5.82.0-1
kitinerary 21.04.1-1
kjobwidgets 5.82.0-1
kjs 5.82.0-1
kldap 21.04.1-1
kmag 21.04.1-1
kmail 21.04.1-1
kmail-account-wizard 21.04.1-1
kmailtransport 21.04.1-1
kmbox 21.04.1-1
kmenuedit 5.21.5-1
kmime 21.04.1-1
kmod 29-1
kmousetool 21.04.1-1
kmouth 21.04.1-1
knewstuff 5.82.0-1
knotes 21.04.1-1
knotifications 5.82.0-1
knotifyconfig 5.82.0-1
kolourpaint 21.04.1-1
kompare 21.04.1-1
konqueror 21.04.1-1
konsole 21.04.1-1
kontact 21.04.1-1
kontactinterface 21.04.1-1
kopeninghours 21.04.1-1
korganizer 21.04.1-1
kosmindoormap 21.04.1-1
kpackage 5.82.0-1
kparts 5.82.0-1
kpeople 5.82.0-1
kpeoplevcard 0.1-1
kpimtextedit 21.04.1-1
kpkpass 21.04.1-1
kpmcore 21.04.1-1
kpty 5.82.0-1
kpublictransport 21.04.1-1
kquickcharts 5.82.0-1
krb5 1.19.1-1
krdc 21.04.1-1
krfb 21.04.1-1
kross 5.82.0-1
kross-interpreters 21.04.1-1
kruler 21.04.1-1
krunner 5.82.0-1
krusader 2.7.2-4
kscreen 5.21.5-1
kscreenlocker 5.21.5-1
kservice 5.82.0-1
ksmtp 21.04.1-1
ksshaskpass 5.21.5-1
ksysguard 5.21.5-1
ksystemlog 21.04.1-1
ktexteditor 5.82.0-2
ktextwidgets 5.82.0-1
ktimer 21.04.1-1
ktnef 21.04.1-1
ktorrent 21.04.1-1
kunitconversion 5.82.0-1
kuserfeedback 1.0.0-1
kwallet 5.82.0-1
kwallet-pam 5.21.5-1
kwalletmanager 21.04.1-1
kwayland 5.82.0-1
kwayland-integration 5.21.5-1
kwayland-server 5.21.5-1
kwidgetsaddons 5.82.0-1
kwin 5.21.5-1
kwindowsystem 5.82.0-1
kwrite 21.04.1-1
kwrited 5.21.5-1
kxmlgui 5.82.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.1-1
latte-dock 0.9.12-1
lcms2 2.12-1
ldb 1:2.3.0-1
ldns 1.7.1-2
less 1:581.2-1
lib32-bzip2 1.0.8-2
lib32-curl 7.77.0-1
lib32-e2fsprogs 1.46.2-2
lib32-expat 2.4.1-1
lib32-gcc-libs 11.1.0-1
lib32-glibc 2.33-5
lib32-icu 69.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.1-1
lib32-libdrm 2.4.106-1
lib32-libelf 0.184-1
lib32-libffi 3.3-2
lib32-libidn2 2.3.1-1
lib32-libldap 2.4.58-1
lib32-libpciaccess 0.16-1
lib32-libpsl 0.21.1-1
lib32-libssh2 1.9.0-1
lib32-libunistring 0.9.10-1
lib32-libva-mesa-driver 21.1.1-1
lib32-libx11 1.7.1-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcrypt 4.4.20-1
lib32-libxdmcp 1.1.3-1
lib32-libxml2 2.9.10-4
lib32-libxshmfence 1.3-2
lib32-llvm-libs 11.1.0-1
lib32-mesa-vdpau 21.1.1-1
lib32-ncurses 6.2-1
lib32-openssl 1:1.1.1.k-1
lib32-readline 8.1.001-1
lib32-vulkan-radeon 21.1.1-1
lib32-wayland 1.19.0-1
lib32-xz 5.2.5-2
lib32-zlib 1.2.11-3
lib32-zstd 1.4.9-1
libaccounts-glib 1.25-3
libaccounts-qt 1.16-2
libaio 0.3.112-2
libakonadi 21.04.1-1
libarchive 3.5.1-1
libass 0.15.1-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.0-2
libavtp 0.1.0-2
libblockdev 2.25-2
libbluray 1.3.0-1
libbs2b 3.1.0-7
libbsd 0.10.0-2
libbytesize 2.5-1
libcaca 0.99.beta19-5
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.50-1
libcap-ng 0.8.2-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1-2
libcroco 0.6.13-2
libcups 1:2.3.3op2-3
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.106-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libebml 1.4.2-1
libebur128 1.2.6-1
libedit 20210419_3.1-1
libelf 0.184-1
libepoxy 1.5.8-1
libevdev 1.11.0-1
libevent 2.1.12-1
libexif 0.6.22-1
libfakekey 0.3-2
libfdk-aac 2.0.2-1
libffi 3.3-4
libfilezilla 0.28.0-2
libfontenc 1.1.4-3
libgadu 1.12.2-13
libgcrypt 1.9.3-1
libgit2 1:1.1.0-1
libglvnd 1.3.3-1
libgme 0.6.3-1
libgnome-keyring 3.12.0+13+g4f8ab73-3
libgpg-error 1.42-1
libgphoto2 2.5.27-1
libgravatar 21.04.1-1
libgudev 236-1
libgusb 0.3.6-1
libheif 1.12.0-1
libibus 1.5.24-1
libical 3.0.10-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.37-1
libidn2 2.3.1-1
libiec61883 1.2.0-6
libieee1284 0.2.11-11
libimobiledevice 1.3.0-3
libinih 53-1
libinput 1.17.3-1
libinstpatch 1.1.6-1
libjpeg-turbo 2.1.0-1
libkate 0.4.1-7
libkcddb 21.04.1-1
libkcompactdisc 21.04.1-1
libkdcraw 21.04.1-1
libkdepim 21.04.1-1
libkexiv2 21.04.1-1
libkgapi 21.04.1-1
libkipi 21.04.1-1
libkleo 21.04.1-1
libkolabxml 1.1.6-15
libkomparediff2 21.04.1-1
libksane 21.04.1-1
libksba 1.4.0-2
libkscreen 5.21.5-1
libksieve 21.04.1-1
libksysguard 5.21.5-1
libktorrent 21.04.1-1
libldac 2.0.2.3-1
libldap 2.4.58-3
liblqr 0.4.2-3
liblrdf 0.6.1-4
libluv 1.41.0-1
libmad 0.15.1b-9
libmatroska 1.6.3-1
libmbim 1.24.6-1
libmfx 21.1.3-2
libmicrodns 0.2.0-1
libmicrohttpd 0.9.73-1
libmm-glib 1.16.4-1
libmms 0.6.4-3
libmnl 1.0.4-3
libmodplug 0.8.9.0-3
libmpc 1.2.1-1
libmpcdec 1:0.1+r475-3
libmpeg2 0.5.1-7
libmtp 1.1.18-1
libmusicbrainz5 5.1.0-4
libndp 1.8-1
libnet 1:1.1.6-1
libnetfilter_conntrack 1.0.8-1
libnewt 0.52.21-5
libnfnetlink 1.0.1-4
libnftnl 1.2.0-1
libnghttp2 1.43.0-1
libnice 0.1.18-1
libnl 3.5.0-3
libnm 1.30.4-3
libnotify 0.7.9-1
libnsl 1.3.0-2
libofa 0.9.3-9
libogg 1.3.4-2
libomxil-bellagio 0.9.3-3
libopenaptx 0.2.0-1
libotr 4.1.1-3
libp11-kit 0.23.22-1
libpaper 1.1.28-1
libpcap 1.10.0-1
libpciaccess 0.16-2
libpgm 5.3.128-1
libphonenumber 8.12.23-1
libpipeline 1.5.3-1
libplacebo 3.120.3-1
libplist 2.2.0-3
libpng 1.6.37-3
libproxy 0.4.17-2
libpsl 0.21.1-1
libpulse 14.2-3
libpurple 2.14.4-2
libqaccessibilityclient 0.4.1-2
libqalculate 3.19.0-1
libqmi 1.28.4-1
libqrtr-glib 1.0.0-1
libraqm 0.7.1-1
libraw 0.20.2-1
libraw1394 2.1.2-3
librsvg 2:2.50.6-1
libsamplerate 0.2.1-1
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libshout 1:2.4.5-1
libsignon-glib 2.1-4
libsigsegv 2.13-1
libsm 1.2.3-2
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.72.0+10+gfe1e295d-1
libsoxr 0.1.3-2
